"Consensus_bnumber"	"Consensus_symbol"	"Consensus_start"	"Consensus_stop"	"Consensus_strand"	"Consensus_TF"	"gene_synonyms"	"product_synonyms"	"RegulonDB_gene_id"	"RegulonDB_symbol"	"RegulonDB_bnumber"	"RegulonDB_strand"	"RegulonDB_type"	"RegulonDB_product_id"	"RegulonDB_product_name"	"RegulonDB_product_type"	"Zika_bnumber"	"Zika_symbol"	"Zika_essentiality"	"Zika_product"	"Zika_strand"	"Zika_type"	"Zika_gene_id"	"RegulonDB_start"	"RegulonDB_stop"	"RegulonDB_TF"	"Zika_start"	"Zika_stop"	"Zika_TF"
"b0464"	"acrR"	485761	486408	"+"	2	"acrR,b0464,ECK0458,ECK120002020,EG12116,ybaH"	"AcrR,ECK120006496,NP_414997.1,YbaH"	"ECK120002020"	"acrR"	"b0464"	"+"	NA	"ECK120006496"	"DNA-binding transcriptional repressor AcrR"	NA	"b0464"	"acrR"	"non-essential"	"DNA-binding transcriptional repressor AcrR"	"+"	"CDS"	"3"	485761	486408	1	485761	486408	1
"b0465"	"mscK"	486536	489898	"+"	0	"aefA,b0465,ECK0459,ECK120002864,G6255,kefA,mscK"	"AefA,ECK120007334,KefA,MscK,NP_414998.1"	"ECK120002864"	"mscK"	"b0465"	"+"	NA	"ECK120007334"	"potassium dependent, small conductance mechanosensitive channel"	NA	"b0465"	"mscK"	NA	"potassium dependent, small conductance mechanosensitive channel"	"+"	"CDS"	"695"	486536	489898	0	486536	489898	NA
"b0466"	"ybaM"	490110	490271	"-"	0	"b0466,ECK0460,ECK120002390,EG12830,ybaM"	"ECK120006865,NP_414999.1,small protein involved in the cell envelope stress response,YbaM"	"ECK120002390"	"ybaM"	"b0466"	"-"	NA	"ECK120006865"	"DUF2496 domain-containing protein YbaM"	NA	"b0466"	"ybaM"	NA	"DUF2496 domain-containing protein YbaM"	"-"	"CDS"	"696"	490110	490271	0	490110	490271	NA
"b0467"	"priC"	490285	490812	"-"	0	"b0467,ECK0461,ECK120000756,EG10765,priC"	"ECK120005232,NP_415000.1,PriC"	"ECK120000756"	"priC"	"b0467"	"-"	NA	"ECK120005232"	"primosomal replication protein N''"	NA	"b0467"	"priC"	NA	"primosomal replication protein N"	"-"	"CDS"	"697"	490285	490812	0	490285	490812	NA
"b0468"	"ybaN"	490882	491259	"+"	0	"b0468,ECK0462,ECK120002396,EG12843,ybaN"	"ECK120006871,NP_415001.1,YbaN"	"ECK120002396"	"ybaN"	"b0468"	"+"	NA	"ECK120006871"	"DUF454 domain-containing inner membrane protein YbaN"	NA	"b0468"	"ybaN"	NA	"conserved inner membrane protein YbaN"	"+"	"CDS"	"698"	490882	491259	0	490882	491259	NA
"b0469"	"apt"	491412	491963	"+"	0	"apt,b0469,ECK0463,ECK120000047,EG10051"	"Apt,ECK120004523,NP_415002.1"	"ECK120000047"	"apt"	"b0469"	"+"	NA	"ECK120004523"	"adenine phosphoribosyltransferase"	NA	"b0469"	"apt"	NA	"adenine phosphoribosyltransferase"	"+"	"CDS"	"699"	491412	491963	0	491412	491963	NA
"b0470"	"dnaX"	492092	494023	"+"	0	"b0470,dnaX,dnaZ,ECK0464,ECK120000239,EG10245"	"DNA elongation factor III,DnaX,DnaZ,ECK120015306,ECK125256986,NP_415003.1"	"ECK120000239"	"dnaX"	"b0470"	"+"	NA	"ECK120015306,ECK125256986"	"DNA polymerase III subunit &gamma;,DNA polymerase III subunit &tau;"	NA	"b0470"	"dnaX"	NA	"DNA polymerase III subunit tau"	"+"	"CDS"	"700"	492092	494023	0	492092	494023	NA
"b0471"	"ybaB"	494076	494405	"+"	1	"b0471,ECK0465,ECK120001088,EG11100,ybaB"	"conserved DNA-binding protein YbaB,ECK120005564,NP_415004.1,YbaB"	"ECK120001088"	"ybaB"	"b0471"	"+"	NA	"ECK120005564"	"putative nucleoid-associated protein YbaB"	NA	"b0471"	"ybaB"	NA	"putative nucleoid-associated protein YbaB"	"+"	"CDS"	"701"	494076	494405	0	494076	494405	1
"b0472"	"recR"	494405	495010	"+"	0	"b0472,ECK0466,ECK120000825,EG10834,recR"	"ECK120005301,NP_415005.1,RecR"	"ECK120000825"	"recR"	"b0472"	"+"	NA	"ECK120005301"	"DNA repair protein RecR"	NA	"b0472"	"recR"	NA	"DNA repair protein RecR"	"+"	"CDS"	"702"	494405	495010	0	494405	495010	NA
"b0473"	"htpG"	495120	496994	"+"	0	"b0473,ECK0467,ECK120000454,EG10461,htpG"	"C62.5,ECK120004930,heat shock protein 90,Hsp90,HtpG,NP_415006.1"	"ECK120000454"	"htpG"	"b0473"	"+"	NA	"ECK120004930"	"chaperone protein HtpG"	NA	"b0473"	"htpG"	NA	"chaperone protein HtpG"	"+"	"CDS"	"703"	495120	496994	0	495120	496994	NA
"ECK125203396"	"nc2"	497025	497169	"+"	0	"ECK125203396,nc2,U00096_ncRNA_497800_497945"	"ECK125203397,trans-encoded antisense RNA"	"ECK125203396"	"nc2"	NA	"+"	NA	"ECK125203397"	"Nc2"	"small RNA"	"U00096_ncRNA_497800_497945"	"nc2"	NA	"nc2"	"+"	"ncRNA"	"8818"	497025	497169	NA	NA	NA	NA
"b0474"	"adk"	497175	497819	"+"	0	"adk,b0474,dnaW,ECK0468,ECK120000029,EG10032,plsA"	"Adk,DnaW,ECK120004505,NP_415007.1,PlsA"	"ECK120000029"	"adk"	"b0474"	"+"	NA	"ECK120004505"	"adenylate kinase"	NA	"b0474"	"adk"	NA	"adenylate kinase"	"+"	"CDS"	"704"	497175	497819	0	497175	497819	NA
"b0475"	"hemH"	498055	499017	"+"	0	"b0475,ECK0469,ECK120000424,EG10431,hemH,popA,visA"	"ECK120004900,HemH,NP_415008.1,PopA,VisA"	"ECK120000424"	"hemH"	"b0475"	"+"	NA	"ECK120004900"	"ferrochelatase"	NA	"b0475"	"hemH"	NA	"ferrochelatase"	"+"	"CDS"	"705"	498055	499017	0	498055	499017	NA
"b0476"	"aes"	499014	499973	"-"	0	"aes,b0476,ECK0470,ECK120001089,EG11101,ybaC"	"Aes,ECK120005565,NP_415009.1,YbaC"	"ECK120001089"	"aes"	"b0476"	"-"	NA	"ECK120005565"	"acetylesterase"	NA	"b0476"	"aes"	NA	"acetylesterase"	"-"	"CDS"	"706"	499014	499973	0	499014	499973	NA
"b0477"	"gsk"	500125	501429	"+"	0	"b0477,ECK0471,ECK120001090,EG11102,gsk"	"ECK120005566,Gsk,NP_415010.1"	"ECK120001090"	"gsk"	"b0477"	"+"	NA	"ECK120005566"	"inosine/guanosine kinase"	NA	"b0477"	"gsk"	NA	"inosine/guanosine kinase"	"+"	"CDS"	"707"	500125	501429	0	500125	501429	NA
"b0478"	"ybaL"	501562	503238	"-"	0	"b0478,ECK0472,ECK120002335,EG12623,ybaL,ylaA"	"ECK120006810,NP_415011.1,YbaL,YlaA"	"ECK120002335"	"ybaL"	"b0478"	"-"	NA	"ECK120006810"	"putative transporter YbaL"	NA	"b0478"	"ybaL"	NA	"putative transporter YbaL"	"-"	"CDS"	"708"	501562	503238	0	501562	503238	NA
"b0479"	"fsr"	503476	504696	"-"	0	"b0479,ECK0473,ECK120002865,fsr,G6256"	"ECK120007335,Fsr,NP_415012.1"	"ECK120002865"	"fsr"	"b0479"	"-"	NA	"ECK120007335"	"fosmidomycin efflux pump"	NA	"b0479"	"fsr"	NA	"fosmidomycin efflux pump"	"-"	"CDS"	"709"	503476	504696	0	503476	504696	NA
"b0480"	"ushA"	504914	506566	"+"	0	"b0480,ECK0474,ECK120001049,EG11060,ushA"	"ECK120005525,NP_415013.1,UshA"	"ECK120001049"	"ushA"	"b0480"	"+"	NA	"ECK120005525"	"5'-nucleotidase / UDP-sugar hydrolase"	NA	"b0480"	"ushA"	NA	"5-nucleotidase/UDP-sugar hydrolase"	"+"	"CDS"	"710"	504914	506566	0	504914	506566	NA
"b0481"	"ybaK"	506603	507082	"-"	0	"b0481,ECK0475,ECK120002303,EG12454,ybaK"	"ECK120006778,NP_415014.1,YbaK"	"ECK120002303"	"ybaK"	"b0481"	"-"	NA	"ECK120006778"	"Cys-tRNA<sup>Pro</sup> and Cys-tRNA<sup>Cys</sup> deacylase"	NA	"b0481"	"ybaK"	NA	"Cys-tRNA(Pro) and Cys-tRNA(Cys) deacylase"	"-"	"CDS"	"711"	506603	507082	0	506603	507082	NA
"b4585"	"chiX"	507204	507287	"+"	0	"b4585,b4585_ncRNA_507203_507287,chiX,ECK120002642,ECK4396,G0-9382,micM,rybC,sroB"	"ChiX,ECK120007116,ig:309,RybC,small regulatory RNA ChiX,SroB"	"ECK120002642"	"chiX"	"b4585"	"+"	NA	"ECK120007116"	"MicM"	"small RNA"	"b4585_ncRNA_507203_507287"	"chiX"	NA	"small regulatory RNA ChiX"	"+"	"ncRNA"	"8819"	507204	507287	0	507204	507287	NA
"b0482"	"ybaP"	507286	508080	"-"	0	"b0482,ECK0476,ECK120002866,G6258,ybaP"	"ECK120007336,NP_415015.1,YbaP"	"ECK120002866"	"ybaP"	"b0482"	"-"	NA	"ECK120007336"	"TraB family protein YbaP"	NA	"b0482"	"ybaP"	NA	"TraB family protein YbaP"	"-"	"CDS"	"712"	507286	508080	0	507286	508080	NA
"b0483"	"ybaQ"	508218	508559	"+"	1	"b0483,ECK0477,ECK120002867,G6259,ybaQ"	"ECK120007337,NP_415016.4,YbaQ"	"ECK120002867"	"ybaQ"	"b0483"	"+"	NA	"ECK120007337"	"DNA-binding transcriptional regulator YbaQ"	NA	"b0483"	"ybaQ"	"non-essential"	"putative DNA-binding transcriptional regulator YbaQ"	"+"	"CDS"	"223"	508218	508559	0	508218	508559	1
"b0484"	"copA"	508875	511379	"-"	0	"b0484,copA,ECK0478,ECK120002868,G6260,ybaR"	"AtcU,CopA,CopA(Z),ECK120007338,ECK125256987,NP_415017.1,YbaR"	"ECK120002868"	"copA"	"b0484"	"-"	NA	"ECK120007338,ECK125256987"	"Cu<sup>+</sup> exporting P-type ATPase,soluble Cu<sup>+</sup> chaperone"	NA	"b0484"	"copA"	NA	"Cu(+) exporting P-type ATPase"	"-"	"CDS"	"713"	508875	511379	0	508875	511379	NA
"b0485"	"glsA"	511641	512573	"+"	0	"b0485,ECK0479,ECK120002869,G6261,glsA,ybaS"	"ECK120007339,GlsA,NP_415018.1,YbaS"	"ECK120002869"	"glsA"	"b0485"	"+"	NA	"ECK120007339"	"glutaminase 1"	NA	"b0485"	"glsA"	NA	"glutaminase 1"	"+"	"CDS"	"714"	511641	512573	0	511641	512573	NA
"b0486"	"ybaT"	512576	513868	"+"	0	"b0486,ECK0480,ECK120002870,G6262,ybaT"	"ECK120007340,NP_415019.1,YbaT"	"ECK120002870"	"ybaT"	"b0486"	"+"	NA	"ECK120007340"	"putative transporter YbaT"	NA	"b0486"	"ybaT"	NA	"putative transporter YbaT"	"+"	"CDS"	"715"	512576	513868	0	512576	513868	NA
"b0487"	"cueR"	513993	514400	"+"	2	"b0487,copR,cueR,ECK0481,ECK120002871,G6263,ybbI"	"CopR,CueR,ECK120007341,NP_415020.1,YbbI"	"ECK120002871"	"cueR"	"b0487"	"+"	NA	"ECK120007341"	"DNA-binding transcriptional dual regulator CueR"	NA	"b0487"	"cueR"	"non-essential"	"DNA-binding transcriptional dual regulator CueR"	"+"	"CDS"	"47"	513993	514400	1	513993	514400	1
"b0488"	"ybbJ"	514401	514859	"-"	0	"b0488,ECK0482,ECK120002872,G6264,ybbJ"	"ECK120007342,NP_415021.2,YbbJ"	"ECK120002872"	"ybbJ"	"b0488"	"-"	NA	"ECK120007342"	"NfeD-like family protein YbbJ"	NA	"b0488"	"ybbJ"	NA	"NfeD-like family protein"	"-"	"CDS"	"716"	514401	514859	0	514401	514859	NA
"b0489"	"qmcA"	514856	515773	"-"	0	"b0489,ECK0483,ECK120002873,G6265,qmcA,ybbK"	"ECK120007343,NP_415022.1,QmcA,YbbK"	"ECK120002873"	"qmcA"	"b0489"	"-"	NA	"ECK120007343"	"PHB domain-containing protein QmcA"	NA	"b0489"	"qmcA"	NA	"PHB domain-containing protein"	"-"	"CDS"	"717"	514856	515773	0	514856	515773	NA
"b0490"	"fetA"	515919	516596	"+"	0	"b0490,ECK0484,ECK120002874,fetA,G6266,ybbL"	"ECK120007344,FetA,NP_415023.1,YbbL"	"ECK120002874"	"fetA"	"b0490"	"+"	NA	"ECK120007344"	"putative iron ABC exporter ATP-binding subunit FetA"	NA	"b0490"	"fetA"	NA	"putative iron ABC exporter ATP-binding subunit FetA"	"+"	"CDS"	"718"	515919	516596	0	515919	516596	NA
"b0491"	"fetB"	516583	517362	"+"	0	"b0491,ECK0485,ECK120002875,fetB,G6267,ybbM"	"ECK120007345,FetB,NP_415024.4,YbbM"	"ECK120002875"	"fetB"	"b0491"	"+"	NA	"ECK120007345"	"putative iron ABC exporter membrane subunit FetB"	NA	"b0491"	"fetB"	NA	"putative iron ABC exporter membrane subunit FetB"	"+"	"CDS"	"719"	516583	517362	0	516583	517362	NA
"b0492"	"cnoX"	517425	518279	"-"	0	"b0492,cnoX,ECK0486,ECK120002876,G6268,ybbN"	"CnoX,ECK120007346,NP_415025.4,Trxsc,YbbN"	"ECK120002876"	"cnoX"	"b0492"	"-"	NA	"ECK120007346"	"chaperedoxin"	NA	"b0492"	"ybbN"	NA	"chaperedoxin"	"-"	"CDS"	"720"	517425	518279	0	517425	518279	NA
"b0493"	"ybbO"	518340	519149	"-"	0	"b0493,ECK0487,ECK120002877,G6269,ybbO"	"ECK120007347,NP_415026.1,YbbO"	"ECK120002877"	"ybbO"	"b0493"	"-"	NA	"ECK120007347"	"NADP<sup>+</sup>-dependent aldehyde reductase YbbO"	NA	"b0493"	"ybbO"	NA	"NADP(+)-dependent aldehyde reductase"	"-"	"CDS"	"721"	518340	519149	0	518340	519149	NA
"b0494"	"tesA"	519139	519765	"-"	0	"apeA,b0494,ECK0488,ECK120001496,EG11542,pldC,tesA"	"acyl-CoA thioesterase I,ApeA,ECK120005972,lecithinase B,long chain fatty acyl thioesterase I,lysophospholipase L<SUB>1</SUB>,NP_415027.1,phospholipase B,PldC,TesA,thioesterase I"	"ECK120001496"	"tesA"	"b0494"	"-"	NA	"ECK120005972"	"multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1"	NA	"b0494"	"tesA"	NA	"multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1"	"-"	"CDS"	"722"	519139	519765	0	519139	519765	NA
"b0495"	"ybbA"	519733	520419	"+"	0	"b0495,ECK0489,ECK120001600,EG11657,ybbA"	"ECK120006076,NP_415028.1,YbbA"	"ECK120001600"	"ybbA"	"b0495"	"+"	NA	"ECK120006076"	"putative ABC transporter ATP-binding protein YbbA"	NA	"b0495"	"ybbA"	NA	"putative ABC transporter ATP-binding protein YbbA"	"+"	"CDS"	"723"	519733	520419	0	519733	520419	NA
"b0496"	"ybbP"	520416	522830	"+"	0	"b0496,ECK0490,ECK120002878,G6270,ybbP"	"ECK120007348,NP_415029.1,YbbP"	"ECK120002878"	"ybbP"	"b0496"	"+"	NA	"ECK120007348"	"putative ABC transporter membrane subunit YbbP"	NA	"b0496"	"ybbP"	NA	"putative ABC transporter membrane subunit YbbP"	"+"	"CDS"	"724"	520416	522830	0	520416	522830	NA
"b0497"	"rhsD"	523261	527541	"+"	0	"b0497,ECK0491,ECK120000840,EG10849,rhsD"	"ECK120005316,NP_415030.1,RhsD"	"ECK120000840"	"rhsD"	"b0497"	"+"	NA	"ECK120005316"	"protein RhsD"	NA	"b0497"	"rhsD"	NA	"protein RhsD"	"+"	"CDS"	"725"	523261	527541	0	523261	527541	NA
"b0498"	"ybbC"	527581	527949	"+"	0	"b0498,ECK0492,ECK120001705,EG11769,ybbC"	"ECK120006181,NP_415031.1,YbbC"	"ECK120001705"	"ybbC"	"b0498"	"+"	NA	"ECK120006181"	"PF15631 family protein YbbC"	NA	"b0498"	"ybbC"	NA	"PF15631 family protein YbbC"	"+"	"CDS"	"726"	527581	527949	0	527581	527949	NA
"b0499"	"ylbH"	527949	528659	"+"	0	"b0499,ECK0493,ECK120002879,G6271,rhsH,ylbH"	"ECK120007349"	"ECK120002879"	"ylbH"	"b0499"	"+"	"Pseudo Gene"	"ECK120007349"	"putative RHS domain-containing protein YlbH"	NA	"b0499"	"rhsH"	NA	"putative RHS domain-containing protein YlbH"	"+"	"CDS"	"4124"	527949	528659	0	527949	528659	NA
"b0501"	"ybbD"	528640	529130	"+"	0	"b0500,b0501,ECK0494,ECK120001706,EG11770,ybbD"	"ECK120006182"	"ECK120001706"	"ybbD"	"b0501"	"+"	"Pseudo Gene"	"ECK120006182"	"putative uncharacterized protein YbbD"	NA	"b0501"	"ybbD"	NA	"putative uncharacterized protein YbbD"	"+"	"CDS"	"4125"	528640	529130	0	528640	529130	NA
"b4632"	"ylbI"	529497	529592	"+"	0	"b4632,ECK125276502,ECK4441,G0-16713,ylbI"	"ECK125276557"	"ECK125276502"	"ylbI"	"b4632"	"+"	"Pseudo Gene"	"ECK125276557"	"RHS element protein YlbI"	NA	"b4632"	"ylbI"	NA	"RHS element protein YlbI"	"+"	"CDS"	"4126"	529497	529592	0	529497	529592	NA
"b0502"	"ylbG"	529645	530016	"-"	1	"b0502,ECK0495,ECK120002881,G6273,ylbG"	"ECK120007351,YlbG"	"ECK120002881"	"ylbG"	"b0502"	"-"	NA	"ECK120007351"	"putative DNA-binding transcriptional regulator YlbG"	NA	"b0502"	"ylbG"	NA	"putative DNA-binding transcriptional regulator YlbG"	"-"	"CDS"	"4127"	529645	530016	0	529645	530016	1
"b0503"	"selU"	530132	531226	"-"	0	"b0503,ECK0496,ECK120001704,EG11768,mnmH,selU,ybbB"	"ECK120006180,MnmH,NP_415036.1,SelU,YbbB"	"ECK120001704"	"selU"	"b0503"	"-"	NA	"ECK120006180"	"tRNA 2-selenouridine synthase"	NA	"b0503"	"mnmH"	NA	"tRNA 2-selenouridine synthase"	"-"	"CDS"	"727"	530132	531226	0	530132	531226	NA
"b0504"	"allS"	531295	532221	"-"	2	"allS,b0504,ECK0497,ECK120002882,G6274,glxA1,ybbS"	"AllS,ECK120007352,GlxA1,NP_415037.1,YbbS"	"ECK120002882"	"allS"	"b0504"	"-"	NA	"ECK120007352"	"DNA-binding transcriptional activator AllS"	NA	"b0504"	"allS"	"non-essential"	"DNA-binding transcriptional activator AllS"	"-"	"CDS"	"9"	531295	532221	1	531295	532221	1
"b0505"	"allA"	532451	532933	"+"	0	"allA,b0505,ECK0498,ECK120002883,G6275,glxA2,ybbT"	"AllA,ECK120007353,NP_415038.1,YbbT"	"ECK120002883"	"allA"	"b0505"	"+"	NA	"ECK120007353"	"ureidoglycolate lyase"	NA	"b0505"	"allA"	NA	"ureidoglycolate lyase"	"+"	"CDS"	"728"	532451	532933	0	532451	532933	NA
"b0506"	"allR"	533011	533826	"+"	2	"allR,b0506,ECK0499,ECK120002884,G6276,glxA3,ybbU"	"AllR,ECK120007354,NP_415039.1,YbbU"	"ECK120002884"	"allR"	"b0506"	"+"	NA	"ECK120007354"	"DNA-binding transcriptional repressor AllR"	NA	"b0506"	"allR"	"non-essential"	"DNA-binding transcriptional repressor AllR"	"+"	"CDS"	"8"	533011	533826	1	533011	533826	1
"b0507"	"gcl"	533916	535697	"+"	0	"b0507,ECK0500,ECK120001534,EG11583,gcl"	"ECK120006010,Gcl,NP_415040.1"	"ECK120001534"	"gcl"	"b0507"	"+"	NA	"ECK120006010"	"glyoxylate carboligase"	NA	"b0507"	"gcl"	NA	"glyoxylate carboligase"	"+"	"CDS"	"729"	533916	535697	0	533916	535697	NA
"b0508"	"hyi"	535710	536486	"+"	0	"b0508,ECK0501,ECK120002885,G6277,gip,hyi,ybbG"	"ECK120007355,Gip,glyoxylate-induced protein,Hyi,NP_415041.1,YbbG"	"ECK120002885"	"hyi"	"b0508"	"+"	NA	"ECK120007355"	"hydroxypyruvate isomerase"	NA	"b0508"	"hyi"	NA	"hydroxypyruvate isomerase"	"+"	"CDS"	"730"	535710	536486	0	535710	536486	NA
"b0509"	"glxR"	536586	537464	"+"	0	"b0509,ECK0502,ECK120002886,G6278,glxB1,glxR,ybbQ"	"ECK120007356,GlxR,NP_415042.1,YbbQ"	"ECK120002886"	"glxR"	"b0509"	"+"	NA	"ECK120007356"	"tartronate semialdehyde reductase 2"	NA	"b0509"	"glxR"	NA	"tartronate semialdehyde reductase 2"	"+"	"CDS"	"731"	536586	537464	0	536586	537464	NA
"b0511"	"ybbW"	537633	539087	"+"	0	"allP,b0511,ECK0504,ECK120002888,G6280,glxB2,ybbW"	"AllP,ECK120007358,NP_415044.4,YbbW"	"ECK120002888"	"ybbW"	"b0511"	"+"	NA	"ECK120007358"	"putative allantoin transporter"	NA	"b0511"	"ybbW"	NA	"putative allantoin transporter"	"+"	"CDS"	"732"	537633	539087	0	537633	539087	NA
"b0512"	"allB"	539147	540508	"+"	0	"allB,b0512,ECK0505,ECK120002889,G6281,glxB3,ybbX"	"AllB,ECK120007359,NP_415045.1,YbbX"	"ECK120002889"	"allB"	"b0512"	"+"	NA	"ECK120007359"	"allantoinase"	NA	"b0512"	"allB"	NA	"allantoinase"	"+"	"CDS"	"733"	539147	540508	0	539147	540508	NA
"b0513"	"ybbY"	540565	541866	"+"	0	"b0513,ECK0506,ECK120002890,G6282,glxB4,ybbY"	"ECK120007360,NP_415046.4,YbbY"	"ECK120002890"	"ybbY"	"b0513"	"+"	NA	"ECK120007360"	"putative purine transporter"	NA	"b0513"	"ybbY"	NA	"putative purine transporter"	"+"	"CDS"	"734"	540565	541866	0	540565	541866	NA
"b0514"	"glxK"	541888	543033	"+"	0	"b0514,ECK0507,ECK120002891,G6283,glxB5,glxK,ybbZ"	"ECK120007361,GlxK,glycerate 2-kinase II,NP_415047.1,YbbZ"	"ECK120002891"	"glxK"	"b0514"	"+"	NA	"ECK120007361"	"glycerate 2-kinase 2"	NA	"b0514"	"glxK"	NA	"glycerate 2-kinase 2"	"+"	"CDS"	"735"	541888	543033	0	541888	543033	NA
"b0515"	"allE"	543261	544046	"-"	0	"allE,b0515,ECK0508,ECK120002892,G6284,glxB6,ughY,ylbA"	"AllE,ECK120007362,NP_415048.1,UghY,YlbA"	"ECK120002892"	"allE"	"b0515"	"-"	NA	"ECK120007362"	"(S)-ureidoglycine aminohydrolase"	NA	"b0515"	"allE"	NA	"(S)-ureidoglycine aminohydrolase"	"-"	"CDS"	"736"	543261	544046	0	543261	544046	NA
"b0516"	"allC"	544057	545292	"-"	0	"allC,b0516,ECK0509,ECK120002893,G6285,glxB7,ylbB"	"AllC,ECK120007363,NP_415049.1,YlbB"	"ECK120002893"	"allC"	"b0516"	"-"	NA	"ECK120007363"	"allantoate amidohydrolase"	NA	"b0516"	"allC"	NA	"allantoate amidohydrolase"	"-"	"CDS"	"737"	544057	545292	0	544057	545292	NA
"b0517"	"allD"	545314	546363	"-"	0	"allD,b0517,ECK0510,ECK120002894,G6286,glxB8,ylbC"	"AllD,ECK120007364,NP_415050.1,YlbC"	"ECK120002894"	"allD"	"b0517"	"-"	NA	"ECK120007364"	"ureidoglycolate dehydrogenase"	NA	"b0517"	"allD"	NA	"ureidoglycolate dehydrogenase"	"-"	"CDS"	"738"	545314	546363	0	545314	546363	NA
"b0518"	"fdrA"	546680	548347	"+"	0	"b0518,ECK0511,ECK120002895,fdrA,G6287,ylbD"	"ECK120007365,FdrA,NP_415051.1,putative acyl-CoA synthetase with NAD(P)-binding Rossmann-fold domain,YlbD"	"ECK120002895"	"fdrA"	"b0518"	"+"	NA	"ECK120007365"	"putative acyl-CoA synthetase FdrA"	NA	"b0518"	"fdrA"	NA	"putative acyl-CoA synthetase FdrA"	"+"	"CDS"	"739"	546680	548347	0	546680	548347	NA
"b4572"	"ylbE"	548357	549616	"+"	0	"b0519,b4507,b4572,ECK0512,ECK120002896,G0-10554,G6288,ylbE"	"ECK120007366,YlbE,YP_009029994.1"	"ECK120002896"	"ylbE"	"b4572"	"+"	NA	"ECK120007366"	"DUF1116 domain-containing protein YlbE"	NA	"b4572"	"ylbE"	NA	"DUF1116 domain-containing protein YlbE"	"+"	"CDS"	"740"	548357	549616	0	548357	549616	NA
"b0520"	"ylbF"	549627	550442	"+"	0	"b0520,ECK0513,ECK120002897,G6289,ylbF"	"ECK120007367,NP_415053.1,YlbF"	"ECK120002897"	"ylbF"	"b0520"	"+"	NA	"ECK120007367"	"DUF2877 domain-containing protein YlbF"	NA	"b0520"	"ylbF"	NA	"DUF2877 domain-containing protein YlbF"	"+"	"CDS"	"741"	549627	550442	0	549627	550442	NA
"b0521"	"ybcF"	550439	551332	"+"	0	"b0521,ECK0514,ECK120002249,EG12384,ybcF"	"ECK120006724,NP_415054.1,YbcF"	"ECK120002249"	"ybcF"	"b0521"	"+"	NA	"ECK120006724"	"putative carbamate kinase"	NA	"b0521"	"ybcF"	NA	"putative carbamate kinase"	"+"	"CDS"	"742"	550439	551332	0	550439	551332	NA
"b0522"	"purK"	551527	552594	"-"	0	"b0522,ECK0515,ECK120000787,EG10796,purE2,purK"	" AIR carboxylase,CO2 subunit,ECK120005263,NP_415055.1,purE2 peptide,PurK"	"ECK120000787"	"purK"	"b0522"	"-"	NA	"ECK120005263"	"5-(carboxyamino)imidazole ribonucleotide synthase"	NA	"b0522"	"purK"	NA	"5-(carboxyamino)imidazole ribonucleotide synthase"	"-"	"CDS"	"743"	551527	552594	0	551527	552594	NA
"b0523"	"purE"	552591	553100	"-"	0	"ade,ade(f),ade3,b0523,ECK0516,ECK120000784,EG10793,Pur2,purE"	" AIR carboxylase,Ade,AIR carboxylase subunit,catalytic subunit,ECK120005260,NP_415056.1,PurE,purE1 peptide"	"ECK120000784"	"purE"	"b0523"	"-"	NA	"ECK120005260"	"<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase"	NA	"b0523"	"purE"	NA	"N(5)-carboxyaminoimidazole ribonucleotide mutase"	"-"	"CDS"	"744"	552591	553100	0	552591	553100	NA
"b0524"	"lpxH"	553218	553940	"-"	0	"b0524,ECK0517,ECK120002352,EG12666,lpxH,ybbF"	"ECK120006827,LpxH,NP_415057.1,YbbF"	"ECK120002352"	"lpxH"	"b0524"	"-"	NA	"ECK120006827"	"UDP-2,3-diacylglucosamine diphosphatase"	NA	"b0524"	"lpxH"	NA	"UDP-2,3-diacylglucosamine diphosphatase"	"-"	"CDS"	"745"	553218	553940	0	553218	553940	NA
"b0525"	"ppiB"	553943	554437	"-"	0	"b0525,ECK0518,ECK120000749,EG10758,ppiB"	"ECK120005225,NP_415058.1,PpiB,rotamase B"	"ECK120000749"	"ppiB"	"b0525"	"-"	NA	"ECK120005225"	"peptidyl-prolyl <i>cis-trans</i> isomerase B"	NA	"b0525"	"ppiB"	NA	"peptidyl-prolyl cis-trans isomerase B"	"-"	"CDS"	"746"	553943	554437	0	553943	554437	NA
"b0526"	"cysS"	554611	555996	"+"	0	"b0526,cysS,ECK0519,ECK120000191,EG10196,syc"	"CysRS,CysS,ECK120004667,NP_415059.1,Syc"	"ECK120000191"	"cysS"	"b0526"	"+"	NA	"ECK120004667"	"cysteine&mdash;tRNA ligase"	NA	"b0526"	"cysS"	NA	"cysteine--tRNA ligase"	"+"	"CDS"	"747"	554611	555996	0	554611	555996	NA
"b0527"	"ybcI"	556032	556553	"-"	0	"b0527,ECK0520,ECK120002366,EG12708,ybcI"	"ECK120006841,NP_415060.1,YbcI"	"ECK120002366"	"ybcI"	"b0527"	"-"	NA	"ECK120006841"	"PF04307 family inner membrane protein YbcI"	NA	"b0527"	"ybcI"	NA	"conserved inner membrane protein YbcI"	"-"	"CDS"	"748"	556032	556553	0	556032	556553	NA
